row_num,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
107,20-35,Female,"Less than 6 months","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Morning,"Social gatherings or parties","Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok
108,20-35,Others,"1 year to 2 years","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Student Plan-Rs 59/month",Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,"Once a week","Food and cooking","Story telling",Both,Longer,Satisfied
109,20-35,Female,"More than 2 years","Wearable devices","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Night,"Sadness or melancholy","Study Hours",recommendations,2,Daily,"Lifestyle and Health",Conversational,"unknown Podcasters",Both,"Very Satisfied"
110,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief","leisure time",Others,4,Never,None,None,None,None,Ok
111,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,3,"Several times a week",Comedy,None,Both,Shorter,Ok
112,20-35,Male,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Morning,"Sadness or melancholy","While Traveling",Playlists,3,"Several times a week",Sports,Interview,Both,Both,"Very Satisfied"
114,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Podcast,Electronic/Dance,Night,"Relaxation and stress relief","Office hours",Playlists,5,"Several times a week",Comedy,Educational,"Well known individuals",Both,"Very Satisfied"
115,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,"Story telling",Both,Shorter,Satisfied
116,20-35,Female,"Less than 6 months",Smartphone,"Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,classical,Night,"Relaxation and stress relief","Office hours",Playlists,3,Never,"Lifestyle and Health",None,Both,Longer,Satisfied
117,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",recommendations,3,Never,None,None,None,None,Ok
118,20-35,Female,"More than 2 years","Smartphone, Wearable devices","Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,"Food and cooking","Story telling",None,None,Ok
119,20-35,Male,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours",Playlists,3,Rarely,Everything,"Story telling","Well known individuals",Both,Ok
120,20-35,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,3,Never,Sports,None,Both,Shorter,Ok
121,20-35,Female,"6 months to 1 year","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,None,None,None,None,Ok
122,20-35,Female,"More than 2 years",Smartphone,"Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,"Story telling","Well known individuals",Shorter,Satisfied
123,20-35,Female,"More than 2 years","Smartphone, Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","leisure time",recommendations,3,Never,None,None,None,None,Ok
124,20-35,Male,"More than 2 years",Smartphone,"Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,None,"Story telling",None,None,"Very Satisfied"
125,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,"Student Plan-Rs 59/month",Music,Melody,Night,"Relaxation and stress relief","While Traveling",Playlists,4,Rarely,None,"Story telling",None,None,Ok
126,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Afternoon,"Relaxation and stress relief","Office hours",recommendations,4,Rarely,"Lifestyle and Health",Educational,"Well known individuals",Shorter,Satisfied
127,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,classical,Night,"Relaxation and stress relief","leisure time",recommendations,4,Never,None,None,None,None,Ok
128,20-35,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,Interview,None,None,Ok
129,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Sadness or melancholy","leisure time",Playlists,4,Never,None,Educational,Both,Shorter,Satisfied
130,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
131,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,None,Educational,"Well known individuals",Shorter,Ok
132,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","leisure time",recommendations,3,Rarely,Comedy,"Story telling","Well known individuals",Shorter,Ok
133,20-35,Female,"More than 2 years","Smartphone, Computer or laptop","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Music,Pop,Night,"Relaxation and stress relief","While Traveling, leisure time","recommendations, Playlists",5,Rarely,"Lifestyle and Health",Educational,Both,Shorter,"Very Satisfied"
134,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling",Playlists,4,"Several times a week",None,None,None,None,Ok
135,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling","recommendations, Playlists",4,Rarely,None,None,None,None,Ok
136,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling",recommendations,5,Rarely,None,Interview,None,None,Ok
137,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Kpop,Night,"Relaxation and stress relief","Office hours, While Traveling, Workout session","recommendations, Playlists",5,"Once a week",Comedy,Conversational,None,Shorter,"Very Satisfied"
138,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
139,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4,"Once a week","Health and Fitness",Conversational,Both,Shorter,Satisfied
140,20-35,Male,"More than 2 years",Smartphone,"Premium (paid subscription)",No,None,Music,classical,Night,"Relaxation and stress relief","leisure time",recommendations,1,Never,None,None,None,None,Ok
141,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Premium (paid subscription)",No,None,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",2,Rarely,"Informative stuff",Conversational,"Well known individuals",Longer,Ok
142,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time",recommendations,4,"Several times a week","Lifestyle and Health",Conversational,Both,Shorter,Ok
143,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational","leisure time",Playlists,1,Rarely,"Lifestyle and Health","Story telling",Both,Shorter,Dissatisfied
144,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
145,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,"Well known individuals",Shorter,Ok
146,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,"Well known individuals",Shorter,Satisfied
147,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,"Several times a week","Health and Fitness",Conversational,"Well known individuals",Shorter,Satisfied
148,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
149,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Podcast,Melody,Morning,"Relaxation and stress relief","While Traveling, leisure time",recommendations,3,"Once a week","Lifestyle and Health",Conversational,"unknown Podcasters",Both,Dissatisfied
150,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling","recommendations, Others",4,Never,None,None,None,None,Ok
151,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","leisure time",recommendations,4,Rarely,Comedy,"Story telling",Both,Shorter,Satisfied
152,20-35,Female,"More than 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,"Once a week","Lifestyle and Health",Conversational,"Well known individuals",Shorter,Satisfied
153,20-35,Female,"More than 2 years","Smartphone, Computer or laptop, Wearable devices","Free (ad-supported)",No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,"Health and Fitness",Conversational,Both,Shorter,Ok
154,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
155,20-35,Male,"1 year to 2 years","Smartphone, Smart speakers or voice assistants","Free (ad-supported)",No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","leisure time",recommendations,4,Never,None,None,None,None,Ok
156,20-35,Female,"Less than 6 months","Wearable devices","Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief","leisure time","recommendations, Others",3,Never,None,None,None,None,Ok
157,20-35,Male,"6 months to 1 year","Smartphone, Computer or laptop","Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,None,None,None,None,Ok
158,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,"Several times a week","Lifestyle and Health",Educational,"Well known individuals",Both,Satisfied
159,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",recommendations,4,Rarely,"Food and cooking",Interview,"Well known individuals",Shorter,"Very Satisfied"
160,20-35,Male,"More than 2 years","Smartphone, Smart speakers or voice assistants, Wearable devices","Free (ad-supported)",No,None,Music,Rock,Night,"Relaxation and stress relief","leisure time",Playlists,3,Never,None,None,None,None,Ok
161,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","While Traveling, leisure time",recommendations,4,Rarely,"Lifestyle and Health",Conversational,Both,Shorter,Satisfied
162,20-35,Male,"1 year to 2 years","Smartphone, Computer or laptop","Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Music,Melody,Night,"Relaxation and stress relief","While Traveling",Playlists,5,Daily,"Health and Fitness","Story telling",Both,Both,Satisfied
163,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Podcast,Melody,Night,"Relaxation and stress relief","leisure time","Radio, Others",4,Rarely,"Lifestyle and Health",Educational,Both,Both,Satisfied
164,20-35,Female,"More than 2 years",Smartphone,"Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3,Rarely,"Lifestyle and Health",Conversational,"Well known individuals",Shorter,"Very Satisfied"
165,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,"Well known individuals",Shorter,Ok
166,20-35,Male,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","While Traveling",recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied
167,20-35,Male,"1 year to 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices","Free (ad-supported)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
168,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief","leisure time",Others,4,Rarely,Sports,Educational,"unknown Podcasters",Both,Ok
169,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","While Traveling, Workout session, leisure time",Playlists,5,"Several times a week",Comedy,"Story telling","unknown Podcasters",Shorter,"Very Satisfied"
170,20-35,Female,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
171,20-35,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Music,Melody,Night,"Uplifting and motivational","Workout session",Radio,3,Rarely,"Food and cooking",Educational,"Well known individuals",Both,Satisfied
172,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Morning,"Relaxation and stress relief","While Traveling","recommendations, Playlists",5,Never,None,None,None,None,Ok
173,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","leisure time",recommendations,4,Rarely,"Food and cooking",Conversational,Both,Shorter,Ok
174,20-35,Male,"More than 2 years",Smartphone,"Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Podcast,Pop,Night,"Uplifting and motivational","Study Hours",recommendations,3,"Several times a week",Sports,Conversational,"Well known individuals",Longer,"Very Satisfied"
175,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok
176,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Electronic/Dance,Night,"Relaxation and stress relief","leisure time","recommendations, Playlists",4,Rarely,"Lifestyle and Health",Educational,None,None,Ok
177,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,classical,Night,"Relaxation and stress relief","While Traveling",recommendations,5,Rarely,Sports,None,"Well known individuals",Shorter,Ok
178,20-35,Male,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
179,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, Workout session",Playlists,3,Daily,"Lifestyle and Health","Story telling","Well known individuals",Shorter,"Very Satisfied"
180,20-35,Male,"1 year to 2 years","Smartphone, Smart speakers or voice assistants","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,"Several times a week",Sports,Educational,Both,Longer,Satisfied
181,20-35,Male,"More than 2 years","Smartphone, Computer or laptop, Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Individual Plan- Rs 119/ month",Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
182,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Morning,"Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",4,Rarely,"Lifestyle and Health",Conversational,Both,Both,Ok
183,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,4,Rarely,Comedy,Conversational,"Well known individuals",Shorter,Ok
184,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,5,"Several times a week",Comedy,Interview,"Well known individuals",Shorter,"Very Satisfied"
185,20-35,Female,"1 year to 2 years","Smart speakers or voice assistants","Premium (paid subscription)",Yes,"Family Plan-Rs 179/month",Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","Playlists, Radio",3,"Once a week",Sports,Interview,"Well known individuals",Shorter,Satisfied
186,20-35,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",No,None,Podcast,classical,Morning,"Uplifting and motivational","While Traveling","Radio, Others",2,"Several times a week","Lifestyle and Health","Story telling",Both,Shorter,Ok
187,20-35,Female,"1 year to 2 years","Computer or laptop, Smart speakers or voice assistants","Free (ad-supported)",No,None,Podcast,classical,Morning,"Uplifting and motivational","Workout session",Radio,2,"Several times a week","Food and cooking","Story telling","unknown Podcasters",Longer,Ok
188,20-35,Female,"More than 2 years","Computer or laptop, Smart speakers or voice assistants","Free (ad-supported)",Yes,"Family Plan-Rs 179/month",Podcast,classical,Morning,"Uplifting and motivational","Workout session",Radio,2,"Once a week","Health and Fitness",Interview,"unknown Podcasters",Both,Ok
189,20-35,Female,"6 months to 1 year","Computer or laptop, Smart speakers or voice assistants","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2,"Once a week",Sports,"Story telling",Both,Longer,Ok
190,20-35,Female,"6 months to 1 year","Smart speakers or voice assistants","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Relaxation and stress relief","While Traveling","Radio, Others",3,"Once a week","Health and Fitness",Interview,"unknown Podcasters",Longer,Ok
191,20-35,Female,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Family Plan-Rs 179/month",Music,classical,Morning,"Uplifting and motivational","While Traveling",Playlists,3,"Once a week","Health and Fitness",Educational,Both,Both,Ok
192,20-35,Female,"6 months to 1 year","Computer or laptop","Free (ad-supported)",No,None,Podcast,Rap,Morning,"Uplifting and motivational","While Traveling",Playlists,2,"Several times a week","Lifestyle and Health",Conversational,Both,Both,Dissatisfied
193,20-35,Others,"6 months to 1 year","Smart speakers or voice assistants","Free (ad-supported)",No,None,Podcast,classical,Morning,"Social gatherings or parties","While Traveling",recommendations,2,"Once a week","Lifestyle and Health",Interview,"Well known individuals",Both,"Very Satisfied"
194,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling","Playlists, Radio",4,Rarely,Comedy,"Story telling",Both,Shorter,Satisfied
195,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,"trending songs random",Night,"Relaxation and stress relief","While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
196,20-35,Male,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, Workout session, leisure time",recommendations,4,"Several times a week","Health and Fitness",Conversational,"Well known individuals",Both,Satisfied
197,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling","recommendations, Playlists",5,"Several times a week",Comedy,Conversational,Both,Shorter,Ok
198,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
199,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief","leisure time",Playlists,5,Rarely,Comedy,Interview,"Well known individuals",Shorter,Satisfied
200,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief","While Traveling",Playlists,4,Rarely,"Lifestyle and Health","Story telling",Both,Shorter,Ok
201,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Pop,Night,"Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Never,None,None,None,None,Ok
202,20-35,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,3,Rarely,"Lifestyle and Health",Educational,"Well known individuals",Both,Satisfied
203,20-35,Male,"Less than 6 months",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",1,Never,None,None,None,None,Ok
204,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,"Lifestyle and Health","Story telling","Well known individuals",Shorter,Ok
205,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Never,None,None,None,None,Ok
206,20-35,Female,"Less than 6 months",Smartphone,"Premium (paid subscription)",Yes,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling","recommendations, Playlists",5,Rarely,Comedy,Conversational,"Well known individuals",Shorter,Satisfied
207,20-35,Male,"6 months to 1 year","Smartphone, Computer or laptop","Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,classical,Morning,"Relaxation and stress relief","Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
208,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Comedy,Interview,"Well known individuals",Shorter,Ok
209,20-35,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",4,Never,None,None,None,None,Ok
210,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,5,Daily,Comedy,Conversational,"Well known individuals",Both,"Very Satisfied"
211,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,"Lifestyle and Health","Story telling",Both,Both,Satisfied
212,20-35,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling",Playlists,5,Rarely,"Lifestyle and Health","Story telling",Both,Shorter,Ok
213,20-35,Male,"More than 2 years","Smartphone, Computer or laptop","Free (ad-supported)",No,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,"Once a week","Health and Fitness",Interview,"Well known individuals",Shorter,Satisfied
214,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational","leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
215,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,3,Never,None,None,None,None,Ok
216,20-35,Female,"Less than 6 months",Smartphone,"Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Music,Melody,Night,"Relaxation and stress relief","Study Hours, While Traveling",Playlists,5,Rarely,Comedy,"Story telling",Both,Shorter,"Very Satisfied"
217,20-35,Male,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session",Playlists,5,Never,None,None,Both,None,Dissatisfied
218,20-35,Male,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,classical,Night,"Relaxation and stress relief","Office hours, While Traveling, Workout session",Playlists,5,Never,None,None,None,None,Satisfied
219,20-35,Female,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
220,20-35,Female,"1 year to 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief","While Traveling",Others,4,Never,None,None,None,None,Ok
221,20-35,Female,"More than 2 years","Computer or laptop","Free (ad-supported)",No,None,Music,Melody,Night,"Relaxation and stress relief","leisure time",Playlists,5,Rarely,"Lifestyle and Health",Interview,"Well known individuals",Shorter,Satisfied
